element,source,destination_horizon,action,dependances,statut,test_effectue
Hero page d'accueil,Ancien theme Streamline + Boite_premium_Le_Bon_Plan_futuriste.png,templates/index.json section hero_jVaWmY (settings.image_1),Reintegre (image_picker pre-assigne),Fichier deja present dans Shopify Files,Fait,Validation JSON + schema OK ; rendu visuel non teste (necessite preview live boutique)
Bouton SumUp produit,Ancien custom Liquid ("Chekout sumup 1" / custom_xJTNL8 / custom_64i3Bk),blocks/sumup-payment.liquid (dans templates/product.json),Reimplemente en vrai block Horizon,POST /apps/sumup-pay (productId + email),Fait,Contrat verifie ligne a ligne contre app/routes/apps.sumup-pay.jsx ; paiement reel non teste (necessite boutique live)
Bouton SumUp panier,Ancien bloc "sumup-cart-wrapper" dans sections/main-cart.liquid,blocks/sumup-cart-payment.liquid (dans templates/cart.json),Reimplemente + BUG CRITIQUE CORRIGE (endpoint),POST /apps/sumup-pay/cart (cart JSON + email),Fait - bug corrige,Contrat verifie contre app/routes/apps.sumup-pay.cart.jsx ; endpoint corrige de /apps/sumup-pay.cart (errone) vers /apps/sumup-pay/cart (reel) ; paiement reel non teste
Page de retour paiement produit,Backend existant (liquid renvoye par l'App Proxy),/apps/sumup-pay/return,Aucune modification (backend non touche),app/routes/apps.sumup-pay.return.jsx,Fait (non modifie),Lecture du code confirmee, route deja coherente avec le theme
Page de retour paiement panier,Backend existant (liquid renvoye par l'App Proxy),/apps/sumup-pay/cart/return,Aucune modification (backend non touche),app/routes/apps.sumup-pay.cart.return.jsx,Fait (non modifie),Lecture du code confirmee ; vide le panier Shopify (/cart/clear.js) puis redirige
Palette de couleurs LE BON PLAN,Design system fourni (#0B0B0B / #151515 / #008CFF / #006CFF / #00A8FF / #3D8BFF / #FFFFFF),config/settings_data.json (color_palette) + snippets/color-palette.liquid,Verifie conforme (deja en place),Aucune,Fait,Verification statique (grep) : background #0B0B0B, color1 #151515, color2 #008CFF confirmes
Bouton premium (glow),Ancien Streamline "Bouton achat premium" / "Bouton ajout panier premium",snippets/premium-button-styles.liquid + blocks/button.liquid (style_class button-premium),Reimplemente nativement et editable dans le theme editor,Aucune,Fait,Verifie : bordure bleue / glow / hover / active / disabled / pulse / shine / mobile full width presents dans le CSS
FAQ page d'accueil,Contenu marketing existant (ancien theme),templates/index.json section blocks_lbp_faq (accordion),Reintegre tel quel,Aucune,Fait,Contenu identique reutilise, aucune donnee inventee
FAQ fiche produit,Contenu marketing existant,templates/product.json bloc accordion_lbp_faq,Reintegre tel quel,Aucune,Fait,Contenu identique reutilise
Bandeau defilant (marquee),Contenu marketing existant ("Jusqu'a 80% d'economies" etc.),templates/index.json section marquee_lbp01,Reintegre tel quel,Aucune,Fait,Contenu verifie present
Bandeau d'annonce header,Texte generique Horizon "Welcome to our store",sections/header-group.json,Corrige : traduit et reecrit en message de confiance LE BON PLAN,Aucune,Fait,Texte remplace par "Paiement securise . Acces immediat apres achat . Aucun abonnement"
Footer newsletter,Texte generique Horizon en anglais,sections/footer-group.json,Traduit en francais,Aucune,Fait,Verifie par diff textuel
Section Benefices (page d'accueil),Absente dans la version fournie,templates/index.json nouvelle section benefits_lbp,Creee - contenu repris a l'identique du FAQ deja valide (aucune donnee inventee),Aucune,Fait,JSON valide + tous les types de blocs verifies existants (group/text)
Section "Comment ca marche" (page d'accueil),Absente dans la version fournie,templates/index.json nouvelle section steps_lbp,Creee - decrit le flux de paiement reel (choix -> SumUp -> acces immediat),Aucune,Fait,JSON valide ; flux verifie conforme au backend SumUp
Section "Classique vs Premium",Demandee par le prompt maitre mais aucune donnee produit fournie cette session,-,NON CREEE - un tableau de comparaison par fonctionnalite aurait necessite d'inventer des differences non confirmees,Export CSV produits Shopify manquant,A faire - necessite intervention utilisateur,Voir 05-rapport-tests.md section "Limites"
Images produits (galerie),Shopify product.media / product.featured_media,blocks/_product-media-gallery.liquid (templates/product.json),Conserve 100% dynamique - aucun hardcode CDN,Aucune,Fait,Verifie : aucune URL cdn.shopify.com en dur dans les fichiers de template/section touches
Medias generiques (65 fichiers Contenu > Fichiers),LE_BON_PLAN_MEDIA_BACKUP (non fourni cette session, seul le script telechargeur l'a ete),Restent disponibles dans Shopify Files,Disponibles via image_picker dans l'editeur de theme, non pre-assignes,inventaire_LE_BON_PLAN.csv ne precise pas d'emplacement specifique pour ces fichiers,A faire (selection manuelle guidee),Voir 02-mapping-medias.csv colonne "raison_si_non_pre_assigne"
Produits Shopify (contenu / prix / SEO),Export CSV produits Shopify,-,Non traite - aucune modification ni duplication effectuee,Export CSV produits Shopify (non fourni cette session),Bloque - necessite le fichier,Aucun produit n'a ete cree ni modifie
Panier natif,Shopify Ajax Cart API,sections/main-cart.liquid + blocks/_cart-products + _cart-summary,Conserve natif Shopify, non reecrit,Aucune,Fait,Verifie : logique panier native intacte, seul le bloc SumUp est ajoute en plus
Validation statique du theme (equivalent theme check),-,Ensemble du theme,Executee (Shopify CLI indisponible dans cet environnement sandbox),Shopify CLI non installe,Fait (validation statique),0 JSON invalide (hors 2 fichiers de locale Shopify au format standard avec commentaire d'en-tete) ; 0 reference section/bloc/snippet cassee
