nom_fichier,type,ancienne_url_shopify_cdn,produit_associe,emplacement_indique_dans_inventaire,statut,nouvel_emplacement_theme_horizon,raison_si_non_pre_assigne
20023.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20023.png?v=1783751337,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20030.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20030.png?v=1783751435,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20059.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20059.png?v=1783730847,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20068.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20068.png?v=1783568380,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20071.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20071.png?v=1783568614,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20074.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20074.png?v=1783568769,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20112.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20112.png?v=1783751567,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20315.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20315.png?v=1783730490,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20335.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20335.png?v=1783731936,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20336.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20336.png?v=1783731930,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20337.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20337.png?v=1783732266,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20341.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20341.png?v=1783732843,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20345.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20345.png?v=1783733002,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20346.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20346.png?v=1783733119,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20353.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20353.png?v=1783734688,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20384.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20384.png?v=1783739177,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20387.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20387.png?v=1783740192,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20388.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20388.png?v=1783740766,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20389.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20389.png?v=1783740976,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20391.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20391.png?v=1783741194,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20392.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20392.png?v=1783741637,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20393.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20393.png?v=1783741772,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20394.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20394.png?v=1783741772,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20395.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20395.png?v=1783741943,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20396.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20396.png?v=1783741943,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
20396_16353558-8a34-41f2-a392-68dd07084b52.png,fichier_media,https://cdn.shopify.com/s/files/1/1004/0426/5334/files/20396_16353558-8a34-41f2-a392-68dd07084b52.png?v=1783742108,,Contenu > Fichiers,DISPONIBLE - NON PRE-ASSIGNE,Aucun (reste dans Contenu > Fichiers Shopify),Aucun emplacement precis fourni dans inventaire_LE_BON_PLAN.csv (colonne emplacement = 'Contenu > Fichiers' generique) ; a assigner manuellement via l'editeur de theme (image_picker) pour eviter toute erreur de placement.
